FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E09000017,2013-2014,PRP rents and charges,,127,a. Weekly rent mean
E09000017,2016-2017,PRP rents and charges,,117.2,a. Weekly rent mean
E09000017,2014-2015,PRP rents and charges,,138.6,b. Weekly total charges mean
E09000017,2015-2016,PRP rents and charges,,141.6,b. Weekly total charges mean
E09000018,2014-2015,PRP rents and charges,,126.3,a. Weekly rent mean
E09000018,2015-2016,PRP rents and charges,,136.9,b. Weekly total charges mean
E09000018,2013-2014,PRP rents and charges,,124.3,a. Weekly rent mean
E09000018,2016-2017,PRP rents and charges,,135.7,b. Weekly total charges mean
E09000018,2016-2017,PRP rents and charges,,122.4,a. Weekly rent mean
E09000018,2015-2016,PRP rents and charges,,128.8,a. Weekly rent mean
E09000018,2013-2014,PRP rents and charges,,132.5,b. Weekly total charges mean
E09000018,2014-2015,PRP rents and charges,,137.6,b. Weekly total charges mean
E09000019,2015-2016,PRP rents and charges,,133.9,a. Weekly rent mean
E09000019,2016-2017,PRP rents and charges,,133.3,a. Weekly rent mean
E09000019,2014-2015,PRP rents and charges,,125.1,a. Weekly rent mean
E09000019,2013-2014,PRP rents and charges,,125,a. Weekly rent mean
E09000019,2015-2016,PRP rents and charges,,148.5,b. Weekly total charges mean
E09000019,2016-2017,PRP rents and charges,,143.6,b. Weekly total charges mean
E09000019,2013-2014,PRP rents and charges,,143,b. Weekly total charges mean
E09000019,2014-2015,PRP rents and charges,,137.3,b. Weekly total charges mean
E09000020,2013-2014,PRP rents and charges,,123.5,a. Weekly rent mean
E09000020,2016-2017,PRP rents and charges,,147.7,b. Weekly total charges mean
E09000020,2014-2015,PRP rents and charges,,131.1,a. Weekly rent mean
E09000020,2015-2016,PRP rents and charges,,155.5,b. Weekly total charges mean
E09000020,2013-2014,PRP rents and charges,,139.2,b. Weekly total charges mean
E09000020,2016-2017,PRP rents and charges,,134.1,a. Weekly rent mean
E09000020,2014-2015,PRP rents and charges,,145.1,b. Weekly total charges mean
E09000020,2015-2016,PRP rents and charges,,138.8,a. Weekly rent mean
E09000021,2015-2016,PRP rents and charges,,141.6,b. Weekly total charges mean
E09000021,2013-2014,PRP rents and charges,,127.5,b. Weekly total charges mean
E09000021,2014-2015,PRP rents and charges,,138.1,b. Weekly total charges mean
E09000021,2016-2017,PRP rents and charges,,134,b. Weekly total charges mean
E09000021,2014-2015,PRP rents and charges,,124.1,a. Weekly rent mean
E09000021,2015-2016,PRP rents and charges,,130.7,a. Weekly rent mean
E09000021,2016-2017,PRP rents and charges,,122.2,a. Weekly rent mean
E09000021,2013-2014,PRP rents and charges,,117.1,a. Weekly rent mean
E09000022,2014-2015,PRP rents and charges,,121.1,a. Weekly rent mean
E09000022,2016-2017,PRP rents and charges,,120.9,a. Weekly rent mean
E09000022,2016-2017,PRP rents and charges,,137.1,b. Weekly total charges mean
E09000022,2015-2016,PRP rents and charges,,140.8,b. Weekly total charges mean
E09000022,2015-2016,PRP rents and charges,,125.7,a. Weekly rent mean
E09000022,2013-2014,PRP rents and charges,,133.4,b. Weekly total charges mean
E09000022,2014-2015,PRP rents and charges,,137.4,b. Weekly total charges mean
E09000022,2013-2014,PRP rents and charges,,116.6,a. Weekly rent mean
E09000023,2013-2014,PRP rents and charges,,106.5,a. Weekly rent mean
E09000023,2016-2017,PRP rents and charges,,108.6,a. Weekly rent mean
E09000023,2016-2017,PRP rents and charges,,116.9,b. Weekly total charges mean
E09000023,2014-2015,PRP rents and charges,,119.8,b. Weekly total charges mean
E09000023,2014-2015,PRP rents and charges,,111.3,a. Weekly rent mean
E09000023,2015-2016,PRP rents and charges,,115.7,a. Weekly rent mean
E09000023,2015-2016,PRP rents and charges,,126.1,b. Weekly total charges mean
E09000023,2013-2014,PRP rents and charges,,116.3,b. Weekly total charges mean
E09000024,2014-2015,PRP rents and charges,,112.6,a. Weekly rent mean
E09000024,2014-2015,PRP rents and charges,,121.9,b. Weekly total charges mean
E09000024,2015-2016,PRP rents and charges,,119.5,a. Weekly rent mean
E09000024,2016-2017,PRP rents and charges,,127,b. Weekly total charges mean
E09000024,2015-2016,PRP rents and charges,,129.1,b. Weekly total charges mean
E09000024,2013-2014,PRP rents and charges,,114,a. Weekly rent mean
E09000024,2013-2014,PRP rents and charges,,120.3,b. Weekly total charges mean
E09000024,2016-2017,PRP rents and charges,,117.1,a. Weekly rent mean
E09000025,2015-2016,PRP rents and charges,,134.7,b. Weekly total charges mean
E09000025,2016-2017,PRP rents and charges,,117.2,a. Weekly rent mean
E09000025,2013-2014,PRP rents and charges,,123,b. Weekly total charges mean
E09000025,2015-2016,PRP rents and charges,,126.2,a. Weekly rent mean
E09000025,2013-2014,PRP rents and charges,,115.5,a. Weekly rent mean
E09000025,2014-2015,PRP rents and charges,,151.7,b. Weekly total charges mean
E09000025,2014-2015,PRP rents and charges,,135.9,a. Weekly rent mean
E09000025,2016-2017,PRP rents and charges,,129.3,b. Weekly total charges mean
E09000026,2015-2016,PRP rents and charges,,118.9,a. Weekly rent mean
E09000026,2013-2014,PRP rents and charges,,120.1,a. Weekly rent mean
E09000026,2015-2016,PRP rents and charges,,130.7,b. Weekly total charges mean
E09000026,2013-2014,PRP rents and charges,,131.2,b. Weekly total charges mean
E09000026,2014-2015,PRP rents and charges,,130.9,b. Weekly total charges mean
E09000026,2016-2017,PRP rents and charges,,122.6,b. Weekly total charges mean
E09000026,2014-2015,PRP rents and charges,,123.3,a. Weekly rent mean
E09000026,2016-2017,PRP rents and charges,,117.9,a. Weekly rent mean
E09000027,2016-2017,PRP rents and charges,,128.3,a. Weekly rent mean
E09000027,2015-2016,PRP rents and charges,,140.5,b. Weekly total charges mean
E09000027,2015-2016,PRP rents and charges,,132.3,a. Weekly rent mean
E09000027,2013-2014,PRP rents and charges,,126.2,a. Weekly rent mean
E09000027,2014-2015,PRP rents and charges,,139.4,b. Weekly total charges mean
E09000027,2013-2014,PRP rents and charges,,134.9,b. Weekly total charges mean
E09000027,2016-2017,PRP rents and charges,,136,b. Weekly total charges mean
E09000027,2014-2015,PRP rents and charges,,131.1,a. Weekly rent mean
E09000028,2014-2015,PRP rents and charges,,125.4,a. Weekly rent mean
E09000028,2013-2014,PRP rents and charges,,136.4,b. Weekly total charges mean
E09000028,2013-2014,PRP rents and charges,,122,a. Weekly rent mean
E09000028,2015-2016,PRP rents and charges,,146.7,b. Weekly total charges mean
E09000028,2016-2017,PRP rents and charges,,145.7,b. Weekly total charges mean
E09000028,2016-2017,PRP rents and charges,,130.2,a. Weekly rent mean
E09000028,2014-2015,PRP rents and charges,,137.2,b. Weekly total charges mean
E09000028,2015-2016,PRP rents and charges,,131.5,a. Weekly rent mean
E09000029,2013-2014,PRP rents and charges,,128.5,b. Weekly total charges mean
E09000029,2014-2015,PRP rents and charges,,125.6,b. Weekly total charges mean
E09000029,2014-2015,PRP rents and charges,,115.2,a. Weekly rent mean
E09000029,2016-2017,PRP rents and charges,,113,a. Weekly rent mean
E09000029,2015-2016,PRP rents and charges,,126,b. Weekly total charges mean
E09000029,2015-2016,PRP rents and charges,,114.6,a. Weekly rent mean
E09000029,2013-2014,PRP rents and charges,,112.8,a. Weekly rent mean
E09000029,2016-2017,PRP rents and charges,,122.2,b. Weekly total charges mean
E09000030,2013-2014,PRP rents and charges,,123.5,a. Weekly rent mean
E09000030,2013-2014,PRP rents and charges,,140.9,b. Weekly total charges mean
E09000030,2016-2017,PRP rents and charges,,132,a. Weekly rent mean
E09000030,2014-2015,PRP rents and charges,,140.2,b. Weekly total charges mean
E09000030,2014-2015,PRP rents and charges,,125.8,a. Weekly rent mean
E09000030,2015-2016,PRP rents and charges,,130.2,a. Weekly rent mean
E09000030,2016-2017,PRP rents and charges,,151.4,b. Weekly total charges mean
E09000030,2015-2016,PRP rents and charges,,147.9,b. Weekly total charges mean
E09000031,2014-2015,PRP rents and charges,,121.5,a. Weekly rent mean
E09000031,2015-2016,PRP rents and charges,,131.1,a. Weekly rent mean
E09000031,2013-2014,PRP rents and charges,,120.8,b. Weekly total charges mean
E09000031,2014-2015,PRP rents and charges,,127.3,b. Weekly total charges mean
E09000031,2015-2016,PRP rents and charges,,139.2,b. Weekly total charges mean
E09000031,2013-2014,PRP rents and charges,,113.5,a. Weekly rent mean
E09000031,2016-2017,PRP rents and charges,,122.9,b. Weekly total charges mean
E09000031,2016-2017,PRP rents and charges,,116.8,a. Weekly rent mean
E09000032,2014-2015,PRP rents and charges,,133.6,a. Weekly rent mean
E09000032,2015-2016,PRP rents and charges,,136.3,a. Weekly rent mean
E09000032,2014-2015,PRP rents and charges,,138.6,b. Weekly total charges mean
E09000032,2015-2016,PRP rents and charges,,143,b. Weekly total charges mean
E09000032,2013-2014,PRP rents and charges,,135.7,b. Weekly total charges mean
E09000032,2013-2014,PRP rents and charges,,129.1,a. Weekly rent mean
E09000032,2016-2017,PRP rents and charges,,138.6,a. Weekly rent mean
E09000032,2016-2017,PRP rents and charges,,147.4,b. Weekly total charges mean
E09000033,2013-2014,PRP rents and charges,,151.7,b. Weekly total charges mean
E09000033,2015-2016,PRP rents and charges,,148.5,b. Weekly total charges mean
E09000033,2013-2014,PRP rents and charges,,127.2,a. Weekly rent mean
E09000033,2016-2017,PRP rents and charges,,132.9,a. Weekly rent mean
E09000033,2015-2016,PRP rents and charges,,139.5,a. Weekly rent mean
E09000033,2016-2017,PRP rents and charges,,142,b. Weekly total charges mean
E09000033,2014-2015,PRP rents and charges,,140.2,b. Weekly total charges mean
E09000033,2014-2015,PRP rents and charges,,132.1,a. Weekly rent mean
E08000001,2015-2016,PRP rents and charges,,85.9,b. Weekly total charges mean
E08000001,2013-2014,PRP rents and charges,,77.6,a. Weekly rent mean
E08000001,2013-2014,PRP rents and charges,,83.3,b. Weekly total charges mean
E08000001,2014-2015,PRP rents and charges,,83.7,b. Weekly total charges mean
E08000001,2016-2017,PRP rents and charges,,85.8,b. Weekly total charges mean
E08000001,2014-2015,PRP rents and charges,,77.2,a. Weekly rent mean
E08000001,2016-2017,PRP rents and charges,,75.3,a. Weekly rent mean
E08000001,2015-2016,PRP rents and charges,,77.9,a. Weekly rent mean
E08000002,2014-2015,PRP rents and charges,,84.8,b. Weekly total charges mean
E08000002,2016-2017,PRP rents and charges,,85.5,b. Weekly total charges mean
E08000002,2015-2016,PRP rents and charges,,76.9,a. Weekly rent mean
E08000002,2014-2015,PRP rents and charges,,79.8,a. Weekly rent mean
E08000002,2015-2016,PRP rents and charges,,80.9,b. Weekly total charges mean
E08000002,2016-2017,PRP rents and charges,,80.1,a. Weekly rent mean
E08000002,2013-2014,PRP rents and charges,,83.5,b. Weekly total charges mean
E08000002,2013-2014,PRP rents and charges,,80.3,a. Weekly rent mean
E08000003,2015-2016,PRP rents and charges,,80.9,a. Weekly rent mean
E08000003,2015-2016,PRP rents and charges,,84.5,b. Weekly total charges mean
E08000003,2014-2015,PRP rents and charges,,80.3,a. Weekly rent mean
E08000003,2013-2014,PRP rents and charges,,79.9,b. Weekly total charges mean
E08000003,2013-2014,PRP rents and charges,,76.8,a. Weekly rent mean
E08000003,2014-2015,PRP rents and charges,,83.8,b. Weekly total charges mean
E08000003,2016-2017,PRP rents and charges,,83.5,b. Weekly total charges mean
E08000003,2016-2017,PRP rents and charges,,79.7,a. Weekly rent mean
E08000004,2015-2016,PRP rents and charges,,77.8,a. Weekly rent mean
E08000004,2013-2014,PRP rents and charges,,84.9,b. Weekly total charges mean
E08000004,2015-2016,PRP rents and charges,,79.3,b. Weekly total charges mean
E08000004,2014-2015,PRP rents and charges,,78.5,b. Weekly total charges mean
E08000004,2016-2017,PRP rents and charges,,77,b. Weekly total charges mean
E08000004,2016-2017,PRP rents and charges,,75.9,a. Weekly rent mean
E08000004,2013-2014,PRP rents and charges,,83.9,a. Weekly rent mean
E08000004,2014-2015,PRP rents and charges,,77.3,a. Weekly rent mean
E08000005,2014-2015,PRP rents and charges,,81,b. Weekly total charges mean
E08000005,2013-2014,PRP rents and charges,,79.3,b. Weekly total charges mean
E08000005,2015-2016,PRP rents and charges,,80.2,b. Weekly total charges mean
E08000005,2016-2017,PRP rents and charges,,79.2,b. Weekly total charges mean
E08000005,2015-2016,PRP rents and charges,,74.7,a. Weekly rent mean
E08000005,2013-2014,PRP rents and charges,,73.1,a. Weekly rent mean
E08000005,2016-2017,PRP rents and charges,,73.1,a. Weekly rent mean
E08000005,2014-2015,PRP rents and charges,,73.6,a. Weekly rent mean
E08000006,2016-2017,PRP rents and charges,,76.7,a. Weekly rent mean
E08000006,2013-2014,PRP rents and charges,,74.7,a. Weekly rent mean
E08000006,2016-2017,PRP rents and charges,,80.3,b. Weekly total charges mean
E08000006,2014-2015,PRP rents and charges,,77.1,a. Weekly rent mean
E08000006,2015-2016,PRP rents and charges,,82.3,b. Weekly total charges mean
E08000006,2013-2014,PRP rents and charges,,79.1,b. Weekly total charges mean
E08000006,2015-2016,PRP rents and charges,,77.9,a. Weekly rent mean
E08000006,2014-2015,PRP rents and charges,,81.3,b. Weekly total charges mean
E08000007,2014-2015,PRP rents and charges,,90.9,b. Weekly total charges mean
E08000007,2013-2014,PRP rents and charges,,80.1,a. Weekly rent mean
E08000007,2013-2014,PRP rents and charges,,85.9,b. Weekly total charges mean
E08000007,2016-2017,PRP rents and charges,,89.8,b. Weekly total charges mean
E08000007,2016-2017,PRP rents and charges,,82.4,a. Weekly rent mean
E08000007,2014-2015,PRP rents and charges,,85.8,a. Weekly rent mean
E08000007,2015-2016,PRP rents and charges,,83.8,a. Weekly rent mean
E08000007,2015-2016,PRP rents and charges,,90.3,b. Weekly total charges mean
E08000008,2015-2016,PRP rents and charges,,84.5,b. Weekly total charges mean
